,text
0,@Biggie_Smallz8 @MooreKyle13 Dont do the crime?!?!? Bro 16 year olds get house arrest for spray painting buildings… https://t.co/iwGpE4jgdX
1,"RT @PrizelessStar: Catch me Live supporting Teni and make sure you get your tickets, Last Chance To Get Your Tickets . . .TENI @TeniEnterta…"
2,"It’s time to get rid of reclining seats in economy, says @chris_muther. (""Also, don’t call him a 'jackhole' on Twit… https://t.co/gIFbcILqwx"
3,I just got result 'Sasara Nurude' on quiz 'What HypMic character are you?'. What will you get? https://t.co/qb5KeiIs8P
4,"RT @PleaseBeGneiss: Me: I can’t afford rent

America: get a good job 

Me: they want a college degree

America: go to college

Me: I don’t…"
5,RT @shondarhimes: Get. Things. Done.
6,I get what I want because I’m doing it 😱🦾💪🏼🙌🏻 💰 @MoneyBaggYo
7,RT @local1260fire: Last night this pup came into the firehouse with a metal collar that was stuck. The owner couldn’t get it removed but lu…
8,RT @HughFW: Kids who saw #EatThemToDefeatThem adverts in 2019 were twice as likely to eat more veg.🙌🏻 So it’s brilliant to see this campaig…
9,"@Gardey9597 @BenLeStrange @City_Chief @sistoney67 @UEFA @ManCity You was in league 2
Get to know your history"
10,"RT @HarpalJadav1: Go as far as you can see; when you get there, you'll be able to see farther.280
#SidharthShuklaFever"
11,"RT @moirarachelle4: ""Maybe their words will get to you sometimes but you will learn to be brave anyway"" 💛"
12,"$1.2 million is not very much money. I would suggest you get busy, Senator. If you can't get this done for educatio… https://t.co/7fuBlna4xT"
13,"I am NOT (I repeat NOT) a morning person! Kudos to people who get up EXTRA early! THIS is next level!

I have quest… https://t.co/GqK6b33AhE"
14,"RT @MonstaXVotingSQ: 📈MONSTA X ON CHART📈

✨Social 50✨
9. @OfficialMonstaX ↑

Let’s get to the top 5.

Reply to this tweet with your FAVOURI…"
15,"RT @ebwhamilton: Every time you pay rent instead of putting that money toward your own home, you’re flushing money down the toilet. 

Every…"
16,@Mikrokosmia I’m not going to lie I’m super excited for this year and also very curious of the medley!!!! Could it… https://t.co/xIEgdiQ4aP
17,"RT @ClassicKrit: You should proud to yourself @perthppe 
You still young &amp; get chance from LineTV to walk in red carpet alone
All people's…"
18,RT @MarkiaaG_: Y’all bitches be mad asl a mf still get shit from their parents 😭 it ain’t my fault you had to get it out the mud bitch don’…
19,Can’t wait to get home and go the fuck to sleep.
20,RT @berrybbom: im so glad i live a life where i get to have a peek of him making music and i would give anything to be able to just simply…
21,"RT @shehnaazshineFC: Tara looking at sana,
Hey I got the cutest maasi 👀 
Can i give u a kissii pls 😛🥰😘

Can’t get over their cuteness 🥰🥰
Bl…"
22,"【ドラゴンボールZ ドッカンバトル】
まだまだ続く5周年！
秘宝「5周年コイン」との交換で豪華アイテムをGETできるぞ！
ログインボーナスやミッションで秘宝「5周年コイン」を集めよう！
▼公式サイトはこちら… https://t.co/phEmujkbHl"
23,RT @schynotsky: when i say my soulmate needs to come get me. THIS WHAT I MEAN.
24,"RT @uzivurt: goodnight, can i get a vibe check? https://t.co/qySZzIDD9o"
25,"Crazy how i never call out of work unless I’m in the hospital or REALLY can’t make it in , when i do it’s almost sl… https://t.co/3hiZz1Gh6K"
26,@_Xykon_ I didn't get another Bloomberg ad yesterday!  I think it was tied to what I was watching.  I was watching… https://t.co/fM0I5nfMsq
27,"Why the fuck are they playing ""Now That's What I Call Devastating Fuckin Break-Up Ballads 69"" in the gym?
You think… https://t.co/2YR7w0YAM1"
28,RT @seeme55555: คือนี่ไม่เคยให้คะแนนคนส่งอาหารไม่เต็มเลยนะ จะหลงทาง ส่งช้าหนึ่งชั่วโมง ขอค่าที่จอดเพิ่มหรือไร ก็คือกดดาวเต็มตลอด เข้าใจคนทำ…
29,RT @gIossiergirl: Still don’t get how y’all kill off the character that adapts to everything so that he can’t be killed.
30,"@TamashiiHiroka Again, why do you hate DP so much? I mean I get it, everyone has opinions, but why do you have to g… https://t.co/tkHm1PIQiF"
31,"@RealSkipBayless Clippers just became the clear favorite so the pressure is 100% on them to win the chip, lakers ge… https://t.co/5Tkdz4v788"
32,@osatoMosato なんと！ゲットできたらいい事ありそうですね😆🙌私も狙ってGETがんばります( ´ ▽ ` )ﾉ
33,RT @shondarhimes: Get. Things. Done.
34,RT @AskYoBxtch: Face mask wit the wake &amp; bake. We finna get high and get beautiful in this bitch blood.
35,@MrsKellyPierce @MissPolyhymnia I'm gonna need you to go ask a witch their stance on faeries and get back to me.
36,"@WeGotLoves salutation, senior! 💥

     tis Choi Jisu want to trying her luck to get your attention, tonight! i see… https://t.co/wFz8TfAWFH"
37,"@jeremyscahill @mehdirhasan and wtf do you think the cia is doing all the time? watching little old ladies at the mall? Get a clue. 

]"
38,"RT @TAKEASHILLPILLL: Spanish = people from Spain 
Hispanic = people who speak Spanish or come from a place where they speak Spanish
Latino…"
